date,Prayer potion(3)_139,Snape grass_231,Ranarr weed_257,Ranarr seed_5295,Vial_229,Vial of water_227,Super restore(3)_3026
10-22-2017,6406,44,6827,30334,2,5,6633
10-23-2017,6399,43,6777,30228,3,6,6684
10-24-2017,6400,42,6765,30266,3,7,6684
10-25-2017,6388,42,6783,30195,3,6,6540
10-26-2017,6343,43,6775,29535,3,5,6540
10-27-2017,6307,43,6698,29449,3,4,6603
10-28-2017,6307,43,6654,29339,3,4,6603
10-29-2017,6282,44,6636,29252,3,5,6741
10-30-2017,6304,44,6603,29122,3,4,6741
10-31-2017,6306,45,6622,29503,3,4,6698
11-01-2017,6306,45,6693,29989,3,4,6698
11-02-2017,6341,45,6687,30708,3,4,6820
11-03-2017,6325,44,6658,30799,3,4,6820
11-04-2017,6295,45,6685,30914,3,4,6757
11-05-2017,6274,45,6617,30506,3,4,6757
11-06-2017,6243,46,6583,30568,3,4,6689
11-07-2017,6233,44,6609,31037,3,4,6689
11-08-2017,6086,45,6600,32119,3,4,6699
11-09-2017,6031,44,6585,33121,3,4,6682
11-10-2017,6000,44,6499,33324,3,5,6682
11-11-2017,6003,44,6376,32884,3,5,6602
11-12-2017,6020,45,6315,32196,3,5,6602
11-13-2017,5996,45,6295,31604,3,5,6547
11-14-2017,5936,46,6349,31388,3,6,6547
11-15-2017,5941,45,6358,31407,4,6,6588
11-16-2017,5903,47,6325,31526,4,7,6666
11-17-2017,5946,47,6236,31400,4,7,6666
11-18-2017,5982,49,6244,31272,4,6,6504
11-19-2017,5983,51,6300,31181,4,6,6504
11-20-2017,5986,52,6411,31034,4,6,6448
11-21-2017,5981,50,6398,31343,3,6,6448
11-22-2017,6001,47,6440,31513,3,6,6500
11-23-2017,5977,45,6381,31145,3,6,6623
11-24-2017,6005,42,6316,30492,3,6,6623
11-25-2017,6039,40,6320,29656,3,6,6837
11-26-2017,6058,39,6314,29540,3,6,7087
11-27-2017,6058,39,6409,29338,3,6,7087
11-28-2017,6037,38,6447,29471,3,5,7231
11-29-2017,6097,39,6485,28979,3,5,7231
11-30-2017,6167,39,6522,28844,3,5,7125
12-01-2017,6243,40,6540,28448,3,5,6940
12-02-2017,6282,40,6573,28462,3,4,6940
12-03-2017,6302,40,6651,29595,3,4,6942
12-04-2017,6412,41,6732,30781,3,4,6942
12-05-2017,6436,40,6822,31964,3,4,6975
12-06-2017,6596,41,6832,32818,3,4,6975
12-07-2017,6560,42,6970,33466,3,4,7058
12-08-2017,6532,42,6951,34023,3,4,7058
12-09-2017,6525,42,6836,33696,3,4,6945
12-10-2017,6491,43,6723,33294,3,4,6878
12-11-2017,6504,43,6730,33210,3,4,6878
12-12-2017,6431,43,6782,33666,3,4,6906
12-13-2017,6368,44,6791,33537,2,4,6906
12-14-2017,6281,45,6787,33300,3,4,6756
12-15-2017,6293,45,6751,32934,2,4,6603
